Insert 23:		23 
Insert 825:		23 825 
Insert 127:		23 825 127 
Insert 538:		23 538 127 825 
Insert 29:		23 29 127 825 538 
Insert 91:		23 29 91 825 538 127 
Insert 92:		23 29 91 825 538 127 92 
Insert 93:		23 29 91 93 538 127 92 825 
Insert 730:		23 29 91 93 538 127 92 825 730 
Insert 361:		23 29 91 93 361 127 92 825 730 538 
Insert 213:		23 29 91 93 213 127 92 825 730 538 
Insert 945:		23 29 91 93 213 127 92 825 730 538 
Insert 818:		23 29 91 93 213 127 92 825 730 538 
Insert 19:		19 29 23 93 213 127 91 825 730 538 
Insert 420:		19 29 23 93 213 127 91 825 730 538 
Insert 538:		19 29 23 93 213 127 91 538 730 538 
Insert 32:		19 29 23 32 213 127 91 93 730 538 
Insert 935:		19 29 23 32 213 127 91 93 730 538 
Insert 834:		19 29 23 32 213 127 91 93 730 538 
Insert 35:		19 29 23 32 35 127 91 93 730 213 
Insert 361:		19 29 23 32 35 127 91 93 730 213 
Insert 637:		19 29 23 32 35 127 91 93 730 213 
Delete 19:		23 29 91 32 35 127 92 93 730 213 
Delete 23:		29 32 91 93 35 127 92 361 730 213 
Delete 29:		32 35 91 93 213 127 92 361 730 538 
Delete 32:		35 93 91 361 213 127 92 538 730 538 
Delete 35:		91 93 92 361 213 127 420 538 730 538 
Delete 91:		92 93 127 361 213 818 420 538 730 538 
Delete 92:		93 213 127 361 361 818 420 538 730 538 
Delete 93:		127 213 420 361 361 818 637 538 730 538 
Delete 127:		213 361 420 538 361 818 637 935 730 538 
Delete 213:		361 361 420 538 538 818 637 935 730 834 
Delete 361:		361 538 420 730 538 818 637 935 945 834 
Delete 361:		420 538 637 730 538 818 825 935 945 834 
Delete 420:		538 538 637 730 834 818 825 935 945 
Delete 538:		538 730 637 935 834 818 825 945 
Delete 538:		637 730 818 935 834 945 825 
Delete 637:		730 825 818 935 834 945 
Delete 730:		818 825 945 935 834 
Delete 818:		825 834 945 935 
Delete 825:		834 935 945 
Delete 834:		935 945 
Delete 935:		945 
Delete 945:		
